	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-04-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																								
2021-05-17	6.184744356467289	-8.843932410613181	-5.848224031143926	0.791994638260399	5.999843841578695	-22.843950298466048	0.9861030678500053	2.0741454626651024	-31.590372518943497	-1.4986196318487701	-1.6981251640455515	-35.86133484380035	8.942288211066625	-9.352350184577517	-16.409253086783185	1.8612970780337088	-15.52033137318924	0.08193272847145434	-3.3345447081196147	9.00524069586148	-2.5527136702391244	5.339726164852538	6.870153765857038	0.5610012671754198	5.1723090344821685	-11.27517724477851	16.026702755101724	2.9957925645560155	0.21037984240966684	3.1348225160691072	1.994712889246229	-4.654492448937769	8.036459088510634	3.054101211954225	-8.796016828430261	-3.7164952700477443	-3.522154948572279	7.0933256835859435	-13.250268728129516	-1.1211320237521756	-8.121954931125705	1.574791910708882	-10.825750909915467	-9.101647398712682	1.5648337019908165	3.51710866807601	2.6714058802230687	1.0810609379445346	-1.3483132935814663	0.7342790774637251	0.31624718048260547	1.132138124925809	-5.122339844164445	13.953147208104685	1.266671060579635	-3.407863623798929																																																								
2021-06-17	6.095808415304868	22.615035493987936	-0.4427960300982692	-0.10773018832989067	5.188302409470648	32.34724688719382	3.395361632471443	9.300261509421274	-12.511614862886226	4.41119976060777	14.518620082306281	-32.25870643828979	19.150912752807752	3.6946604925429156	25.826397671064385	18.371596283811343	22.035922560648093	7.841579641866524	8.00268149550467	-0.2900881230968064	20.4164180229876	10.201840662937418	14.104080268358814	3.577510348135667	16.26913393975749	-3.9672723135092234	43.110150484267066	8.573699248652405	1.3455452645488193	21.747450351725945	5.691206846440109	-0.07192036960003012	8.351470329949052	2.467586850619183	3.36230149107568	4.455384005725047	10.339562508600004	7.593725311867946	17.569778796063055	5.646768794175559	7.893011688741905	1.4239852136825442	-1.086326326378126	-12.47368532227048	1.4969832298599215	10.001918795976964	4.696254045053736	-0.1414431579537223	26.135517269169693	15.942002039451271	0.8332052566931721	4.266268657804773	-1.5321725620178483	12.297550606579389	3.8627898224106314	4.8496608692914345	0.0	0.0																																																						
2021-07-16	-1.3608279308582247	13.387392772713605	-7.095363700495096	-3.2467639442678244	1.0141035693645861	175.7489867873719	6.4096341469255735	8.006892317613428	22.75222126708035	0.8281228006871826	5.879905624010659	-6.384713560142856	27.928274632718193	23.462366658014304	62.764679741807	24.249248782484763	6.261386268616926	4.349968012011794	4.263903797926988	8.197964232653668	33.974903521828026	0.7237974811293846	10.364258891060487	-2.557284728600526	7.5774066667174935	16.889680565169066	38.8852553914038	22.302432585491427	-8.33342462716373	27.285310184388592	0.6549976769179384	9.814115105052814	-6.134838374075651	-1.0622493558481105	18.06198311002606	7.696959129863322	-2.685654317060428	10.887115438790374	28.50016753899407	19.782852451860954	37.97717569875861	8.726662751708991	51.88575521603387	37.57698985006299	8.121700394818617	16.83172836792448	4.278467840224405	3.1990460620260275	159.07745735287375	26.390007805627704	1.5567752932643817	18.22593900203521	-3.350652275757657	19.474838309590673	16.198830433530418	26.152978283341735	3.699334718900597	22.69653037183323	0.0																																																					
2021-08-17	-2.6102188399738786	-21.636807808070085	-46.71440788556045	-8.768829666886457	-11.051112417170755	293.8574592723171	-0.13695555534436998	-1.9503106014210108	-13.673867250270298	-3.8236357112132957	-21.191762052318897	35.22828575043268	4.058658708989512	53.48174675236774	36.94692779885959	25.787632693005015	-4.6199219353808125	7.20717393036551	-17.303417598567258	31.310367856598358	75.9263310114334	-7.836700955044732	-1.3521502179920226	-14.471936208342479	-1.2836739830170636	15.982660860230245	66.29280366088759	48.07352293779948	-3.3481503009015894	8.713816851902166	-19.442102689434826	29.55420178705998	-11.675476135246083	0.9435821622129588	42.96975520554662	-8.592775900931663	-6.271920252362005	2.0161045354095712	-31.344825033780772	24.765887049963858	53.36787630451784	19.573162117408927	90.08973456437398	91.84304698196837	17.604836640842795	36.48249101063881	2.3505571302520902	10.137761728786806	229.1605796992504	30.47626364307439	2.3690288790043366	36.61720397141963	-41.82880989270286	-11.964995057035058	32.757304357039	43.84606965752484	9.610291098788517	74.60105729478578	4.227229547630285	0.0	0.0	0.0	0.0																																																	
2021-09-17	-5.663337770103638	-49.351041271692154	-75.85727331788827	-7.998858500966542	-14.791366564429065	386.30231608996195	3.83514619658116	-7.659037286687594	-56.90031505187632	-13.202397112652982	-36.58956896289497	19.78225981699906	27.309907930107173	26.45678599660085	-36.879275915267165	25.006069020944608	43.35992040914087	10.798233426661469	-22.29504955454651	20.144056294727477	101.15605984331543	-9.102037036081619	-4.378603987603167	-23.923923367271378	8.94955249870975	33.22864211334975	56.8558407296491	58.53519654712091	7.829213329433479	19.28230500762337	-35.66571566757765	18.331971116171776	-22.906959322335993	1.6861660218937793	79.14407956662052	-20.847018829460644	-4.255625151401494	-2.360056023571854	-74.20633634128319	29.893741052317168	70.57315057590772	22.885205419579144	147.07679562391246	123.16245789824214	20.054449746339685	38.79702743197796	4.230843389807932	12.95193915541442	303.01799433380495	32.30629277975082	3.284070452450565	43.08817661999893	-55.325014482307374	-37.257131824807196	38.85471616035527	57.52876443928405	39.051255355170426	18.713225412101608	13.831304897918615	-0.6972716588788899	0.9075139059439405	1.0213548407385435	6.497336420608917																																																	
2021-10-15	-4.974069104257412	-60.75990102805666	-75.566498468089	-19.03448621724259	-13.871349079827663	323.0872980279457	-0.5676951851546708	-14.896702592446196	-158.48033310029655	-45.602790031438865	-45.578380496313464	-203.69892463252427	10.324590564941637	-79.30647986662036	-79.25210947133976	20.54474913210578	38.7627354999544	-4.833113147477464	-25.86409836432784	17.86944176181167	55.08615524399207	29.368144567135076	-26.074598517888937	-31.59656370233781	14.684705537913338	7.354813336562774	87.95205151741251	55.426624165112386	55.55858228953664	72.10431046526878	-48.767988732950954	-38.2814299606352	-0.8348176716867792	-0.9936019977723847	49.25513989459539	-47.188892606263195	4.683683155288357	8.173174338807243	-169.02203109635988	14.163818870780247	47.42803648827598	20.119498165118024	191.49882372861626	155.06273880057748	16.069373794334414	43.53138420841479	4.440305283590295	16.713506358327574	248.81424405543987	25.34479059425663	4.59402483918271	40.50776400507875	-58.08234668375877	-54.287144877403634	36.918655093739005	48.00999732039868	46.6390333868991	-145.4111302444779	0.6451337429734512	0.430630142459017	0.6724112539079337	-13.978862375487955	7.229084641525006																																																	
2021-11-17	-1.3495502258085903	-94.67500579154348	-56.14790256612943	-15.103274269860101	5.468328864658155	493.24946967462324	-7.383513653251492	-13.988293768718822	-120.8349871174961	-66.06335409205667	-72.40263956223504	-339.15330088039457	-44.05111890012797	-113.04563995202075	-32.287805790698975	42.25647119791854	16.589873040101608	2.7835926016282695	-20.649886216378686	54.607416407145756	5.782020730376146	49.1323471291015	-51.785843191808915	-39.72643779950576	-4.903740536068419	25.411249321767652	99.2037023640091	78.25355572249691	63.697599734087866	90.86799342388724	-63.43997424314765	-69.67413785057548	15.607416930904034	4.309694887817156	93.8152901449101	-54.93336995545109	40.97174974228512	10.096457543376978	-198.0094308382938	8.96622651775428	90.6956560460399	12.033282990932392	229.74050519908806	189.6226772822085	7.287192839483286	56.402185689076774	7.588713853147349	15.127648972318429	227.0078561310038	34.59088059711276	6.064828735901995	61.49394415103228	-38.866020117911205	-60.16994890994772	56.32037199014913	73.03755440012226	50.69667124732861	-215.10444047482792	43.893529728268035	32.251790986777465	30.825371732547893	-1.1540468191613602	17.56650382431031	0.0	0.0																																															
2021-12-17	3.942761994717105	-112.97730342469129	-99.67535339373794	-9.350447682157462	-1.8215978688747771	504.3519836074446	-11.754367705864952	-21.191513470341533	-64.28088857907969	-76.73840653018645	-88.9046935983654	-360.5709427959492	-57.88417623201748	-59.251443351058214	-44.49451318318587	53.69108904922625	-130.97560738604543	-7.82213587915774	-41.08420552296609	49.203536370304946	-43.81088828580877	42.72643149901765	-58.91421586398805	-47.010839953	-29.44594833644973	17.603897205233945	82.23890095200716	74.26354804784145	57.588162743776486	46.689293652325304	-70.73064077778132	-47.513065387472786	13.115443518292437	8.773473199592349	82.92654778053249	-46.371061503099476	1.526492174468073	24.61040470503263	-166.35595391689674	16.788630977128115	95.43748489945474	13.067115578315665	174.9677049606418	118.9458544711135	6.8966477502922	41.47961847344676	8.238436508572548	13.245403951284725	225.19487005515828	47.5379744404494	8.646698955827777	67.75054679446077	-68.44881886566029	-101.96806098767834	61.7740534327222	74.6922199021505	23.044920437731733	-149.94975349958276	58.623966537347115	19.833517458123495	13.13410589147939	27.721658335594995	9.253033399041456	-13.08052780884221	0.266680459224315	0.0	0.0																																													
2022-01-17	15.555972765343348	-117.74199687362344	-98.88653742593274	-11.167398173804123	1.4613719771476972	403.58077970142153	-16.124873265679174	-25.105986841180524	-11.0594177597427	-110.17585123769224	-88.37676032545035	-511.75790553895985	-39.542054878086915	-137.10019809499636	-130.99004095117834	59.995814487435766	-300.56421598178525	-3.1554309193043384	-36.389501265878906	63.281401346510066	-115.51869414863759	87.73961562745788	-62.71258219284464	-55.97267954680295	-42.03141841967766	-28.012542595238532	78.51689875933448	75.92396697377978	58.206522234599234	88.96993258543355	-88.68172805453304	-79.72353137085679	63.16193290612381	15.712603464402356	53.08794762936418	-46.442237739742154	-23.747920031093347	11.442971147231276	-166.7753406018815	-5.143626352643139	68.47209163541493	3.028986284243288	107.32645796415176	60.248149004187326	-0.4146442870339442	52.56834942074465	7.7478493307719845	13.537957658433534	66.65068858872348	46.89608371869116	10.763356724931523	68.75813048033551	-78.45958195740798	-136.6841386173292	62.71545257309418	59.61083398327429	-13.496864603904427	-274.4464849511781	66.65295291265016	28.36167893768733	-5.597303766716305	48.310533062052144	-22.923903709775384	-25.83524400054572	7.824498859632186	2.1893247068057664	1.8913052305700453		0.0																																											
