	AGG	BIL	BND	BNDX	BWX	DBMF	EDV	EEMS	EMB	EMLC	EMXC	EXI	GLDM	GUNR	HYG	IAU	ICLN	IDEV	IDMO	IEF	IEFA	IEMG	IGF	IJR	ILF	IMTM	INDA	IPAC	ITA	IWM	IWY	IXC	IXG	IXJ	IXN	IXP	JEPI	JXI	KXI	LQD	MCHI	MOAT	MXI	OILK	PDBC	QQQ	QQQM	REET	REMX	RXI	SCHD	SCHG	SCHP	SCZ	SGOV	SHY	SLV	SPMO	SPY	SPYM	TIP	TLT	UEVM	USHY	USO	VB	VBK	VBR	VEA	VEU	VEXC	VGIT	VGK	VGLT	VGSH	VNQ	VNQI	VOO	VOX	VPL	VSS	VTI	VTIP	VTV	VUG	VWO	VWOB	VXUS	XLB	XLC	XLE	XLF	XLI	XLK	XLP	XLU	XLV	XLY	XMMO
2021-06-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-07-16	0.052285305794811165	-0.0006755600627741387	0.03621549687834147	0.03851453123608195	0.008140650909510327	0.01828668056390015	0.18759450885305284	0.07227092862468965	0.0365185859875794	0.002035505072004895	-0.012006710737182402	0.1307537372295542	0.0765811235476761	-0.013386739964499128	0.03218769823384093	0.07339016732326797	-0.023145539808137272	-0.010226518679885999	0.02407899948946124	0.10363639114248713	-0.005417565674527225	-0.031039854739809414	-0.008253700712806733	-0.18492026478477896	-0.03178738325070185	-0.015297935898825443	0.01857759741975684	0.0006703868550843595	-0.24983245762663842	-0.5382047039151701	0.6525143354366776	-0.09079770688657618	0.016618168931387345	0.17343270065438787	0.20404774375111145	0.1093409176905169	0.11961369093327079	0.09186521350827803	0.09615745435752387	0.05815720082688358	-0.16453417481859844	0.08648812057626287	0.11216548908808477	0.03618552270438258	0.015762459518562366	1.1909868289263272	0.4915216777399394	0.06396823459201428	1.1850711137820582	0.16257505063657618	0.04506168202457417	0.06759100150518904	0.04258995382195252	0.02400703104132873	0.0008082376246534295	0.006474421574523603	-0.008774825310773338	0.20959798698751086	1.2242365562678401	0.14335536685085515	0.1743973517349815	0.1801566534232535	0.02285797032195802	0.018001089068899745	0.06222212484420453	-0.1848807049613015	-0.2665626112892028	-0.15399239477608262	-0.005191161761594287	-0.022055514517674624		0.034543333569821755	-0.005406306340148603	0.11239371883903004	0.004612979725891364	0.28151196428174785	0.003896946920626476	1.1242414947248562	0.17497492515801127	-0.002391239177143234	0.09917343443954962	0.47005347444803647	0.04125724422966215	0.22763696219504936	0.17312200388677468	-0.026620718149032996	0.015359253625248925	-0.009889042954846161	0.025345978913478007	0.18392092278200778	-0.1065000659040578	0.0755349183693923	0.1938315714865837	0.3257763637097071	0.18892524045417503	0.0919968259979882	0.3961119040464638	0.23414546607905606	0.01816100204770521
2021-08-18	0.10743267422121505	-0.002546440609592082	0.07408009480649014	0.09280590848451453	0.015220578801063311	-0.01985063566093359	0.43685028430142836	-0.09154955247266372	0.06466759297067881	-0.018742701379149906	-0.09684858866244639	0.4082603279028376	0.09582182007594042	-0.053840177651206744	0.038909814761083794	0.09335814732148151	-0.02458989557991842	0.07733321275222238	0.11047651047043061	0.21797405525953195	0.0987421300610336	-0.3143611273863698	-0.002246121468253648	-0.23118088082274824	-0.15336530915187296	0.04139886588355779	0.16147732578896523	-0.018920279297340414	-0.4312269598613909	-0.9867223895880102	1.3043269248603906	-0.1942153243157172	0.2240191482792966	0.6006087675347089	0.4094781757253543	0.16751805881850146	0.27000352352304446	0.321156546194473	0.1944391845397888	0.10973811461745697	-0.9831805135407308	0.22470949884369418	0.2648274478996768	-0.0858666771902925	0.010957291485791387	2.4678085185584564	1.018808688789676	0.11812042593767202	2.719703798602694	-0.0016742709116215337	0.10317219393681754	0.13440373912620274	0.08935677217689175	0.18041261926607888	0.001567373558231111	0.013003243758390681	-0.17589158903701474	0.4478137635660957	2.753971051767678	0.3232230168201866	0.3665361806553449	0.4084660580583517	-0.07548629871343593	0.02498948187510308	-0.18808483912379614	-0.18725901762147146	-0.45218861534897314	-0.08973334563063418	0.042710943332977536	-0.05205731879538433		0.0706491691956117	0.15194935227025752	0.2524364164683135	0.009414312068344088	0.5147987888567229	0.02509165597805918	2.5311039656565413	0.4064786411899206	-0.06846131848905657	0.18190665759857438	1.1208716081097236	0.08033323018972283	0.6324464944104307	0.3614409404118675	-0.2430794553069049	0.02991397678791685	-0.03184726354150769	0.1518812075916003	0.4132888955820988	-0.24465613881833193	0.25276981743618165	0.43024335162319005	0.6530715472113684	0.4065889379312253	0.25005017493752746	1.1533973811445861	0.37848984672365305	0.20766160081754492
2021-09-17	0.15536418676701658	-0.003983210945591509	0.10732831267240783	0.09652654923750958	-0.0019411764907601992	-0.023752309888990908	0.6532599775933647	-0.07782151437584162	0.12963440627650868	-0.029121454138550718	-0.06474987761252038	0.6069928739501336	0.055559414719951405	-0.09136885008242857	0.11597046850931747	0.053693626994700594	-0.010508366169077021	0.18868824999750444	0.33950651088179384	0.24893237881337882	0.23136513604951858	-0.43894428947208297	-0.007142897132098369	-0.15870009584023137	-0.31713768419495025	0.11660934919090238	0.5190477784641843	0.22064879580749164	-0.774577741116147	-0.7294613702284778	2.087653238900316	-0.20182595124839153	0.3465685317456746	0.8272157815951715	0.6924387759806976	0.30668194735328314	0.35236815916209707	0.3202664437561822	0.23245841758892283	0.19934540435312442	-1.5699172046790153	0.2988554205485343	0.15846151414108078	0.01409736105404491	0.04708009236941635	4.34063029481274	1.7917390771953592	0.15579880563212	4.498585689590541	0.16469538961652574	0.12644760378875475	0.23202526554379332	0.13333675236022557	0.4469977486830885	0.002346944390438921	0.01817837825286972	-0.3861866217605261	0.7956504811585887	4.192041321156239	0.4924511064287529	0.545766419949345	0.5833336277571846	-0.06582702764593762	0.0680948335877467	0.01042761955358884	0.25044834218496703	0.5664318213086403	0.04599811922162189	0.10980794616455825	-0.02853778666013085		0.08051458737913464	0.1917231035856659	0.35674727311825905	0.013549558088094216	0.7481524956519223	-0.013146308730227929	3.8459826186430632	0.8807941708158751	0.1388175206432578	0.44738017834860955	1.826087930148077	0.1277586844874108	0.7873243014871605	0.6150853403644021	-0.3191142674221723	0.07409796427536008	0.00042058612702078335	0.15102470515844146	0.6741287284096273	-0.272746324853653	0.3770037981386096	0.40664691473590153	1.025521370029793	0.5232170085936616	0.28849654254884527	1.6057405564129539	0.7576576838111464	0.5644920933462458
2021-10-18	0.10897438592984088	-0.005734184154349009	0.07069362114467026	0.05777266021052441	-0.057878143120063896	-0.006978597299728051	0.5622962878085644	-0.030395387918090933	0.016494746289467344	-0.07222609949026904	-0.031094483759133595	0.7328774445553847	0.04093159434362548	0.10985258554320154	0.14256305847683848	0.040353084501184355	0.03797592139914485	0.2478732902738443	0.4887839695998224	0.13306770544471647	0.26491933843750104	-0.4894732246813618	0.09227036625519958	0.14146471547908845	-0.4568926511216702	0.16821974583960753	0.885424452733993	0.21748500723715125	-0.6143535965785816	-0.27734332350900104	2.7551106843327773	0.0740906324440509	0.6885980336100488	0.7690483472224514	0.9031508915614239	0.2824665722114901	0.4315746730315908	0.24599245307874185	0.20656743673675493	0.13545208201885828	-1.8813768668167086	0.47913693972787996	0.18135660376130147	0.35450822260955306	0.15729488234027045	5.699040252149018	2.3510217325407154	0.20864017074432084	5.9516843342765355	0.6822852809116853	0.18386646032500664	0.3199057469919637	0.16815373841140513	0.5108400029989397	0.0033996052092106765	0.0019008146687014005	-0.4867176403130138	1.1247653661640982	5.704043473512172	0.6704610620851312	0.6816698755590807	0.4921487509484592	-0.08213139557116023	0.08543882697412641	0.6955250513718809	0.9262965218054262	1.2001938550702107	0.6754653632177394	0.134385444188851	-0.015486460723501239		0.028641490453431118	0.23715049202699134	0.2959961140469005	0.0038839682533478026	0.9829666600130622	-0.048308978255057866	5.238417622635666	1.0164981589163062	0.06379183589517368	0.600332364993605	2.6010127337897586	0.16715402323376338	1.1252650695881101	0.8343610905160332	-0.3231730578126317	-0.0006343609455754518	0.025490856534347017	0.2620378100776861	0.7141937439697017	0.0012959293754839507	0.6250067317452306	0.6031993990156934	1.3835861753127716	0.5712313550378099	0.28572071137470445	1.5389946305329403	1.3335965910653869	0.993948740180457
2021-11-18	0.0658762393104837	-0.007040682432943868	0.03801777324241584	0.049912608179447204	-0.11252301760282535	0.052538372698592184	0.5619983023143789	0.004301602528890669	-0.057976413074285915	-0.14594800513661	-0.03262252747745009	1.0698852621177508	0.1837623196056981	0.23636690103630187	0.1450264722926562	0.17622186726111977	0.16587279008393097	0.3650537031562848	0.7025717890985632	0.05471619763747526	0.3708023033541892	-0.589012401118211	0.15947696257230604	0.8309136744882863	-0.7251368265595062	0.28056779331922854	1.10664921385451	0.22928503081362095	-0.5716385193067168	0.8191157059639806	4.227015616309359	0.2345497160745289	0.9161782492588202	0.9715101255133192	1.396266588678749	0.2872473075833426	0.5384602196142154	0.2864596739304943	0.3012984756939687	0.06601481211681914	-2.276326623125385	0.6668150361982867	0.23025762828400786	0.5585220365430246	0.22487792280633911	8.956218682396013	3.6873310725646604	0.31271263067667476	7.145117728569559	2.005032712574831	0.26992431829113883	0.4856495097863913	0.23194869905532656	0.5625810787564305	0.0037814787169168085	-0.017073252567158193	-0.4426697165715794	1.5115484817956144	8.509558113702894	0.9992671987859012	0.9426712786078895	0.5022773627183597	-0.14450900303889114	0.09391839300148774	1.1118774668049412	1.9850893384448227	2.193292589926159	1.6517156130106514	0.20079065791759376	0.027883056342353996		-0.017792478241418053	0.36860522006332275	0.2858838713262344	-0.008904430911520933	1.3842517710370572	-0.06874518253818707	7.81602516565448	0.9544587335861934	0.01800888056975225	0.7552867138746535	3.971598070461482	0.24017737660417282	1.6340773555573094	1.2554353964637386	-0.36262799412504876	-0.04795193382546614	0.07570384341986625	0.5055380851015556	0.6628671827395607	0.19971567538355117	0.8070286224102858	0.9958100582505125	2.1430799387887873	0.7383305229521326	0.3453552494691863	1.964472705217787	2.506733028520287	1.8409296810990696
2021-12-17	0.06908462365815637	-0.007984056498145264	0.04315814486903946	0.07199401949295492	-0.15302751890002497	0.03971629578373026	0.9153376514912708	-0.09786566712781308	-0.13018477865053057	-0.2366212193654036	-0.1178597844873579	0.9906078839847652	0.18986893365399027	0.30224485066185025	0.1651019441588204	0.18094844216123107	0.047629432721741694	0.24877919324477915	0.7347518848495369	0.10758056633837043	0.2354206992069976	-0.8363922708253924	0.13601456303639026	0.7803811681622932	-0.8803410804120801	0.21854391480479052	1.0425168139635446	0.09757033981613716	-1.1363529210026684	0.23530508749658452	4.948490143275308	0.27786022330499094	0.9192963044463625	1.2091312743309004	1.6719537572067509	0.018236080895235318	0.6650101804073998	0.44628056775626135	0.4687411708504001	0.07233118393715188	-2.971317389680209	0.6588524768750261	0.2672299423480098	0.5247717626450203	0.22886395281109806	10.099472608774022	4.160874581282826	0.39065129791008246	7.805251645243729	1.98066890483139	0.3472997074082862	0.5404041000080397	0.25271199145787904	0.3255081470232213	0.00457497857486544	-0.04094358827403255	-0.5849948103753704	1.6379301481017094	9.993991951298597	1.17460819653148	1.0213184711753485	0.8011030052650625	-0.19687477719829616	0.1076368480658978	1.044895676376136	1.6579741311558962	1.206744675171194	1.6413309925924011	0.11339884567407665	-0.10466724425813823		-0.02898027307033857	0.24850985757683475	0.4425896515827219	-0.02468390558714617	1.794460687275759	-0.19291257045176735	9.187876642004369	0.3129730261884731	-0.14501122477784634	0.4003216072453597	4.496619987779582	0.2666123385837196	2.0183882151008135	1.3924986088423097	-0.5402834621144947	-0.0838303859517211	-0.06138715032481201	0.6610546886120261	0.3502731750413943	0.26747510020493337	0.8770395379275726	1.0078893118394063	2.6293212432525053	1.0655275245787905	0.4956582426279077	2.5824075520301477	2.8126812743316094	1.8720438143759282
2022-01-18	-0.13640819842999008	-0.010656426571785005	-0.11217614586094271	0.0014470830670063606	-0.22428611069655702	0.07257212084896025	0.34464367364812176	-0.10681951164784209	-0.47322578354425104	-0.2974887507831987	-0.07152230708386753	0.9968324034240652	0.22120756675515452	0.6174205330209688	0.13559882337176532	0.20971202792004817	-0.21810482863009284	0.2525665159705497	0.7946093868684017	-0.14982628468868597	0.21197095972993907	-0.9219270321886981	0.25088424206585813	0.7885106995898212	-0.9162420120263199	0.19618539272583746	1.25617836465495	-0.02565617704633638	-0.9361419903278971	-0.7760532032653487	4.95837651331945	0.6597964251833872	1.2694485109706903	1.1547295998666698	1.706857640762017	-0.25631424176746975	0.737582397720125	0.5671071065261017	0.6086736367409671	-0.26189954905453305	-3.4252857775277405	0.7540723350350049	0.4973854788357528	0.9174563642034279	0.3106307721313879	9.802634447890227	4.05948745846996	0.4382582173539298	8.600408862615197	1.926437222765827	0.4529429413710844	0.49168741348400147	0.22340041970988267	0.1613702567563564	0.005615596195710282	-0.09751898835160944	-0.6092666483977354	1.6499906507258189	10.78941442624307	1.2666176124084458	0.8964079656694821	0.2966721708788924	-0.15595002618244536	0.09868933459005902	1.7933871102392445	1.1067871502816047	-1.365267680666193	2.0102637826803686	0.10344767971226787	-0.11433691049249717		-0.14758370648138452	0.27988340468878903	0.1432211668887362	-0.06278241818333186	1.9348714586425615	-0.29636926692417376	9.925306413011526	-0.38792358260357673	-0.3150605486660538	0.20867951787434436	4.5451282021638235	0.27316734194911163	2.6306229849503495	1.2713959419474747	-0.5718782776388025	-0.2971702185252241	-0.08447684785689802	0.7904449993425118	0.04852639340528242	0.698476984697237	1.0340472203230675	1.1981468056053757	2.7570748024879066	1.3975950128861712	0.5764179194627701	2.649916622874727	2.9357776271650238	1.8229083531019938
2022-02-18	-0.396470011133772	-0.011954988825550572	-0.310032230251835	-0.1128614377880055	-0.303948817841853	0.09748683141745573	-0.2761070543163129	-0.26864460686166325	-0.7744492735412365	-0.2905247267100748	-0.0429947316948045	0.5226206761873868	0.3724704269505139	0.9794949966741271	-0.0426850185368437	0.35430227414267534	-0.4816369087599881	0.09445124196313515	0.6960179061795806	-0.37782420507555514	0.017325520950691953	-1.0242834692965772	0.3164821459598599	0.4596253823168297	-0.8320476267009376	0.055316858457004514	1.1847617243306345	-0.22522292153833234	-0.9523717129663538	-2.1900471025541606	4.076420916603212	1.0264312540454164	1.4373879091642152	0.8781426086802782	1.410405203216392	-0.9394285134286093	0.7029202859640975	0.5285690779282746	0.7142337973832511	-0.7882162463466784	-3.835912170306486	0.5463340872372555	0.5565409140699984	1.3538155320137832	0.422751629539194	7.202303872292987	2.994822294446408	0.375669932993695	8.651688907800093	1.0706675996073614	0.45263917171760326	0.35581672104749273	0.185719211795643	-0.18460787240537258	0.006702853696623379	-0.1788754813391762	-0.5870378173938526	1.3889805890259268	9.618842629297035	1.1287979816117542	0.7385040579509479	-0.2159586764631456	-0.11069291009307136	0.018241434625732467	2.6601150358154726	0.09367529219267112	-4.23111652627415	1.920793535103428	-0.018325242118059748	-0.2243929418822148		-0.26794231041935745	0.12270304720325953	-0.15087634869009037	-0.11980923396972543	1.5972491510679276	-0.3851292751854629	8.855180791038379	-1.9017651389312107	-0.5810453127596702	-0.3288447777266583	3.6993657963549254	0.2785906334935575	2.7757669289921267	0.9081853118120193	-0.6075078519756261	-0.4895094895188663	-0.21230523029995396	0.7448195907982793	-0.815264530590099	1.1408205987330646	1.0934220368993905	0.8638714119998667	2.46519569213271	1.6496786398409071	0.5507112810595949	2.3242637090808245	2.506370663654039	1.6007184993108154
2022-03-18	-0.7068415091188314	-0.012026686865823422	-0.5458554852358191	-0.2507543293272221	-0.4365515992343987	0.21434406304946307	-1.145351583063146	-0.47399447846875375	-1.3275948531595247	-0.4022525693218775	-0.24353564117613757	0.3555720917035785	0.5242295124935623	1.3853614436374713	-0.18536578566852313	0.4986472033805853	-0.456590164486645	-0.08393289403658599	0.6052730825362431	-0.6949432870983259	-0.2264404480554134	-1.356607370105479	0.4747513387981286	0.45296164837017727	-0.6493590714038646	-0.04872006740171031	1.1271645586205423	-0.3920986839730105	-0.5774900456560772	-2.6846890480215393	3.664634026719142	1.4076686751093312	1.4269692598958414	1.0391539939988803	1.2131804999405347	-1.455793373479068	0.767684030422437	0.6532146054352239	0.6406195881979571	-1.2996724184788349	-4.58098183129718	0.5089005825153521	0.7662710593244526	2.092455422119251	0.6102180640015451	5.858246848418446	2.4421268642383893	0.3853833601121295	8.814679864741535	-0.05154980343033344	0.479591570676007	0.2914575751514725	0.20136812251066516	-0.5116528191856844	0.008018147259434727	-0.28207854569696167	-0.49113733558618833	1.2800245900043308	9.468121830380937	1.1098111298989295	0.7966879597357206	-0.9291798612552782	-0.19874619416562211	-0.04978383875245029	4.09860438656991	-0.19234064785217697	-5.672346818718722	2.1589142378460338	-0.15738830091687817	-0.4299555467705858		-0.42494353123503714	-0.1337119104074418	-0.5663073462382897	-0.19442183518196288	1.610613782851587	-0.47590850825064024	8.711384200750274	-2.9798513504885733	-0.8184761687061268	-0.7763900680569549	3.4308318482110565	0.33475340480023164	3.1292801009033298	0.7009118517527995	-0.8504344643375035	-0.8492584516575619	-0.41655928059335423	0.7825750798864703	-1.420202954790497	1.6745660747657674	1.1111839050126804	0.9281499711866132	2.309949018897214	1.6971621916951563	0.6852593497220809	2.74826255605052	2.213698304092574	1.6412490960412214
