	DX-Y.NYB	KRW=X
2026-03-23	98.94999694824219	1504.2099609375
2026-03-24	99.43000030517578	1485.3599853515625
2026-03-25	99.5999984741211	1497.31005859375
2026-03-26	99.9000015258789	1500.969970703125
2026-03-27	100.1500015258789	1508.3599853515625
2026-03-30	100.51000213623047	1507.02001953125
2026-03-31	99.95999908447266	1516.1300048828125
2026-04-01	99.6500015258789	1503.3299560546875
2026-04-02	100.02999877929688	1512.0899658203125
2026-04-06	99.9800033569336	1509.260009765625
2026-04-07	99.63999938964844	1507.8499755859375
2026-04-08	99.12999725341797	1499.1300048828125
2026-04-09	98.81999969482422	1477.5999755859375
2026-04-10	98.6500015258789	1473.280029296875
2026-04-13	98.37000274658203	1482.1800537109375
2026-04-14	98.12000274658203	1476.8399658203125
2026-04-15	98.05999755859375	1469.4200439453125
2026-04-16	98.22000122070312	1474.06005859375
2026-04-17	98.0999984741211	1477.9200439453125
2026-04-20	98.05000305175781	1465.1500244140625
2026-04-21	98.41000366210938	1469.260009765625
2026-04-22	98.58999633789062	1485.800048828125
2026-04-23	98.80000305175781	1477.9599609375
2026-04-24	98.51000213623047	1479.949951171875
2026-04-27	98.4800033569336	1474.68994140625
2026-04-28	98.62000274658203	1473.0
2026-04-29	98.91999816894531	1471.989990234375
2026-04-30	98.08000183105469	1487.3800048828125
2026-05-01	98.20999908447266	1474.010009765625
2026-05-04	98.47000122070312	1471.72998046875
2026-05-05	98.4800033569336	1476.050048828125
2026-05-06	98.0199966430664	1473.9599609375
2026-05-07	98.25	1444.449951171875
2026-05-08	97.83999633789062	1454.7900390625
2026-05-11	97.94000244140625	1460.550048828125
2026-05-12	98.29000091552734	1474.449951171875
2026-05-13	98.4800033569336	1492.989990234375
2026-05-14	98.87999725341797	1489.8399658203125
2026-05-15	99.2699966430664	1493.3399658203125
2026-05-18	98.97000122070312	1497.1500244140625
2026-05-19	99.30000305175781	1492.3199462890625
2026-05-20	99.0780029296875	1507.8499755859375
