	DX-Y.NYB	KRW=X
2026-07-27	101.51000213623047	1458.010009765625
2026-07-28	101.37999725341797	1464.43994140625
2026-07-29	100.80000305175781	1453.1600341796875
2026-07-30	100.01000213623047	1442.280029296875
2026-07-31	99.80000305175781	1420.5999755859375
2026-08-03	99.95999908447266	1435.699951171875
2026-08-04	99.88999938964844	1428.5
2026-08-05	99.69000244140625	1428.4300537109375
2026-08-06	99.97000122070312	1421.1600341796875
2026-08-07	99.5999984741211	1422.300048828125
2026-08-10	99.80999755859375	1407.0
2026-08-11	99.81999969482422	1417.31005859375
2026-08-12	100.01000213623047	1412.1800537109375
2026-08-13	99.95999908447266	1416.4599609375
2026-08-14	99.66999816894531	1416.8499755859375
2026-08-17	99.63999938964844	1415.3699951171875
2026-08-18	99.6500015258789	1414.72998046875
2026-08-19	98.83000183105469	1413.5799560546875
2026-08-20	98.9000015258789	1389.4000244140625
2026-08-21	98.80000305175781	1390.7900390625
2026-08-24	99.0	1384.97998046875
2026-08-25	98.91999816894531	1380.760009765625
2026-08-26	99.16999816894531	1381.489990234375
2026-08-27	99.16000366210938	1383.489990234375
2026-08-28	99.69999694824219	1380.449951171875
2026-08-31	99.43000030517578	1377.1099853515625
2026-09-01	99.66999816894531	1366.6199951171875
2026-09-02	99.55999755859375	1372.8599853515625
2026-09-03	99.0	1358.3900146484375
2026-09-04	99.16000366210938	1355.4100341796875
2026-09-08	98.83999633789062	1343.5699462890625
2026-09-09	98.7699966430664	1339.2099609375
2026-09-10	99.08999633789062	1339.1700439453125
2026-09-11	99.12000274658203	1348.1700439453125
2026-09-14	99.45999908447266	1344.6400146484375
2026-09-15	99.6500015258789	1345.6099853515625
2026-09-16	100.30999755859375	1363.5699462890625
2026-09-17	100.22000122070312	1376.5999755859375
2026-09-18	100.22000122070312	1379.530029296875
2026-09-21	100.43000030517578	1384.8599853515625
2026-09-23	101.0999984741211	1350.3599853515625
2026-09-24	101.29000091552734	1362.5
2026-09-25	101.10199737548828	1354.1800537109375
