	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080
2024-12-05	8149.0	16858.0	17757.0	7411.0	16065.0	134139.0	2622.0	5141.0	25821.0	9714.0	14508.0	35585.0	28720.0	111720.0	8213.0	12954.0	30230.0	12195.0	9845.0	34850.0	23765.0	15120.0	6407.0	2507.0	2965.0	11651.0	20631.0	30789.0	9963.0	6392.0	115262.0	14503.0	8216.0	18990.0	11390.0	14610.0	12023.0	41435.0	8085.0	24835.0	12489.0	16133.0	13129.0	11687.0	27797.0	3675.0	12546.0	94880.0	12217.0	55296.0	21137.0	6815.0	5719.0	19309.0	20083.0	15737.0	82585.0	24176.0	10954.0	6753.0	8849.0	6257.0	6258.0	12721.0	7540.0	17215.0	10934.0	7896.0	14907.0	6483.0	6390.0	21915.0	26976.0	114147.0	14216.0	98209.0	112972.0	11506.0	25059.0	14505.0	17251.0	17737.0	11347.0	12079.0	12425.0	17312.0	17178.0	8064.0	13530.0	11584.0	9433.0	52607.0	57297.0	11610.0	12540.0	9764.0	1040246.0	12803.0	12900.0	14798.0	15960.0	53642.0	15571.0	10680.0	10636.0	8489.0	12272.0	10106.0	102485.0
2024-12-06	8276.0	16858.0	18245.0	7325.0	16000.0	134333.0	2588.0	5033.0	25526.0	9571.0	14508.0	35210.0	28428.0	111557.0	8178.0	12910.0	29920.0	12195.0	9980.0	34560.0	23730.0	15240.0	6334.0	2477.0	2965.0	11576.0	21130.0	30970.0	9988.0	6304.0	115114.0	14608.0	8212.0	19005.0	11335.0	14415.0	12241.0	41260.0	8125.0	24830.0	12529.0	16293.0	13203.0	11717.0	27722.0	3670.0	12585.0	95420.0	12173.0	55301.0	21162.0	6999.0	5838.0	19328.0	20128.0	15505.0	82657.0	23912.0	10984.0	6848.0	8725.0	6356.0	6174.0	12745.0	7555.0	17290.0	11143.0	8125.0	14787.0	6493.0	6625.0	21980.0	26757.0	114063.0	14246.0	98295.0	112917.0	11525.0	24984.0	14480.0	17221.0	17293.0	11319.0	12172.0	12327.0	17434.0	17371.0	8098.0	13776.0	11624.0	9447.0	52617.0	57472.0	11650.0	12550.0	9759.0	1040338.0	12823.0	12948.0	14827.0	15965.0	54092.0	15765.0	10708.0	10671.0	8542.0	12401.0	10190.0	102495.0
2024-12-09	7953.0	16582.0	18293.0	7009.0	16000.0	137140.0	2440.0	4864.0	25058.0	9359.0	14344.0	33690.0	27476.0	112145.0	7895.0	12896.0	30790.0	12190.0	9915.0	34885.0	24203.0	15140.0	6128.0	2373.0	2823.0	11007.0	21239.0	31340.0	10143.0	6196.0	115538.0	14258.0	8106.0	19315.0	11060.0	14505.0	12313.0	40200.0	8120.0	25034.0	12723.0	15618.0	12603.0	11909.0	28143.0	3585.0	12755.0	96542.0	12163.0	55301.0	21483.0	7034.0	5918.0	19629.0	20548.0	14862.0	83758.0	24181.0	11182.0	6873.0	8552.0	6356.0	6268.0	12845.0	7475.0	17440.0	11446.0	8040.0	15241.0	6692.0	6650.0	22524.0	27751.0	114195.0	14393.0	98500.0	113058.0	11627.0	25242.0	14510.0	17379.0	16166.0	11281.0	12239.0	12410.0	17612.0	17975.0	8103.0	13885.0	11774.0	9462.0	52617.0	58232.0	11805.0	12647.0	9842.0	1040428.0	12907.0	12913.0	15051.0	16372.0	54802.0	16073.0	10849.0	10823.0	8619.0	12647.0	10330.0	102500.0
2024-12-10	7995.0	17239.0	18850.0	7210.0	16174.0	135081.0	2524.0	5008.0	25662.0	9600.0	14749.0	35655.0	28022.0	111865.0	8143.0	12944.0	30340.0	12205.0	9995.0	34315.0	24029.0	15020.0	6289.0	2602.0	2916.0	11531.0	21259.0	30990.0	10163.0	6397.0	115528.0	14393.0	8137.0	19265.0	11285.0	14410.0	12463.0	41010.0	8055.0	24815.0	12609.0	16308.0	13228.0	11786.0	28014.0	3680.0	12662.0	95477.0	12193.0	55301.0	21206.0	7306.0	6007.0	19373.0	20227.0	15495.0	84138.0	23762.0	11345.0	7013.0	8710.0	6371.0	6278.0	12754.0	7550.0	17520.0	11561.0	8185.0	14967.0	6802.0	6900.0	21940.0	26837.0	114381.0	14304.0	98233.0	113043.0	11538.0	24846.0	14440.0	17246.0	16894.0	11276.0	12152.0	12323.0	17248.0	17762.0	8049.0	13810.0	11694.0	9481.0	52622.0	57797.0	11735.0	12569.0	9788.0	1040521.0	12868.0	12651.0	14862.0	15852.0	53897.0	15939.0	10753.0	10726.0	8580.0	12607.0	10166.0	102505.0
2024-12-11	8154.0	17408.0	18717.0	7277.0	16413.0	135365.0	2554.0	5231.0	26062.0	9675.0	14806.0	35665.0	28681.0	111445.0	8402.0	12788.0	30145.0	12105.0	9990.0	34410.0	23944.0	15075.0	6338.0	2657.0	2985.0	11586.0	21354.0	30936.0	10277.0	6460.0	115346.0	14573.0	8137.0	19200.0	11400.0	14360.0	12502.0	41455.0	7990.0	24771.0	12609.0	16238.0	13253.0	11786.0	28069.0	3747.0	12716.0	95252.0	12015.0	55311.0	21255.0	7201.0	5997.0	19393.0	20272.0	15722.0	83665.0	23336.0	11222.0	6948.0	8934.0	6410.0	6253.0	12745.0	7560.0	17740.0	11571.0	8090.0	14752.0	6697.0	6715.0	21955.0	26871.0	114327.0	14276.0	98017.0	112952.0	11525.0	24619.0	14415.0	17221.0	17463.0	11227.0	12269.0	12308.0	17356.0	17881.0	7976.0	13845.0	11739.0	9486.0	52627.0	58032.0	11765.0	12564.0	9793.0	1040611.0	12863.0	12627.0	14683.0	16224.0	53617.0	15983.0	10772.0	10765.0	8580.0	12692.0	10121.0	102525.0
2024-12-12	8210.0	17480.0	19052.0	7468.0	16523.0	137384.0	2563.0	5305.0	26580.0	9645.0	14913.0	36005.0	28862.0	111235.0	8302.0	12738.0	29910.0	12225.0	10090.0	34365.0	23820.0	15000.0	6388.0	2667.0	2965.0	11750.0	21384.0	31153.0	10143.0	6514.0	115282.0	14383.0	8091.0	19220.0	11590.0	14415.0	12525.0	42075.0	7905.0	25148.0	12564.0	16687.0	13536.0	11756.0	28004.0	3792.0	12687.0	94620.0	11974.0	55331.0	21378.0	7335.0	5992.0	19519.0	20573.0	15989.0	83422.0	23827.0	11321.0	7058.0	9172.0	6375.0	6194.0	12656.0	7440.0	17835.0	11865.0	8075.0	15007.0	6797.0	6685.0	22349.0	27666.0	114225.0	14319.0	97836.0	112937.0	11442.0	25103.0	14495.0	17478.0	18011.0	11150.0	12119.0	12106.0	17332.0	18110.0	7897.0	13825.0	11729.0	9472.0	52641.0	58007.0	11750.0	12486.0	9722.0	1040896.0	12927.0	12561.0	14916.0	16471.0	53046.0	16226.0	10758.0	10745.0	8566.0	12866.0	10014.0	102545.0
2024-12-13	8191.0	17582.0	18549.0	7425.0	16264.0	137404.0	2588.0	5335.0	26913.0	9876.0	14923.0	36904.0	29027.0	111506.0	8501.0	12738.0	29255.0	11936.0	9965.0	34145.0	23536.0	14915.0	6505.0	2692.0	3015.0	11840.0	21224.0	31050.0	9983.0	6500.0	115631.0	14343.0	8106.0	19380.0	11630.0	14206.0	12278.0	42260.0	7850.0	25133.0	12544.0	16542.0	13466.0	11732.0	27960.0	3747.0	12711.0	94034.0	11979.0	55331.0	21328.0	7127.0	5888.0	19467.0	20573.0	15954.0	84381.0	23907.0	11236.0	6948.0	9202.0	6272.0	6194.0	12651.0	7450.0	17660.0	11695.0	7975.0	15256.0	6802.0	6600.0	22194.0	27436.0	114396.0	14285.0	97592.0	113009.0	11438.0	25228.0	14450.0	17468.0	18166.0	11141.0	12234.0	12081.0	17293.0	18040.0	7829.0	13757.0	11749.0	9424.0	52651.0	58017.0	11760.0	12481.0	9717.0	1040994.0	12897.0	12521.0	14852.0	16521.0	52698.0	16102.0	10748.0	10731.0	8542.0	12869.0	9972.0	102565.0
2024-12-16	8089.0	17268.0	18330.0	7363.0	16075.0	138094.0	2573.0	5350.0	26983.0	9955.0	14701.0	37119.0	29067.0	111146.0	8427.0	12700.0	28950.0	12030.0	9950.0	34055.0	23234.0	14830.0	6515.0	2707.0	2995.0	11850.0	21205.0	31000.0	9934.0	6490.0	115208.0	14123.0	8077.0	19080.0	11595.0	14166.0	12149.0	42095.0	7770.0	25222.0	12529.0	16587.0	13452.0	11702.0	27822.0	3722.0	12731.0	93605.0	11915.0	55336.0	21333.0	6984.0	5764.0	19480.0	20683.0	16122.0	82759.0	24265.0	11207.0	6848.0	9212.0	6247.0	6135.0	12656.0	7430.0	17490.0	11750.0	7816.0	14817.0	6797.0	6460.0	22389.0	28021.0	114049.0	14276.0	97306.0	112882.0	11452.0	25405.0	14425.0	17518.0	17936.0	11136.0	12192.0	12121.0	17283.0	18140.0	7767.0	13860.0	11769.0	9401.0	52656.0	58112.0	11775.0	12467.0	9735.0	1041074.0	12873.0	12613.0	14966.0	16312.0	52359.0	16078.0	10728.0	10723.0	8505.0	12877.0	9891.0	102565.0
2024-12-17	7948.0	17268.0	18460.0	7253.0	16025.0	140267.0	2573.0	5330.0	26615.0	9816.0	14677.0	36689.0	28789.0	110506.0	8253.0	12671.0	29425.0	11951.0	9895.0	34135.0	23491.0	14520.0	6363.0	2687.0	2956.0	11720.0	21190.0	31114.0	9899.0	6397.0	114681.0	14153.0	7961.0	19075.0	11455.0	14181.0	12236.0	41620.0	7760.0	25555.0	12534.0	15858.0	12826.0	11732.0	27852.0	3702.0	12764.0	93669.0	11842.0	55336.0	21423.0	6994.0	5724.0	19569.0	21019.0	15974.0	80992.0	24656.0	11192.0	6818.0	9356.0	6218.0	6130.0	12552.0	7340.0	17500.0	12114.0	7761.0	15047.0	6886.0	6450.0	22678.0	28540.0	113615.0	14281.0	97200.0	112670.0	11362.0	25574.0	14465.0	17763.0	17597.0	11010.0	12133.0	11963.0	17297.0	18387.0	7757.0	13757.0	11803.0	9410.0	52651.0	58342.0	11820.0	12387.0	9641.0	1041166.0	12873.0	12453.0	15086.0	16402.0	52414.0	16197.0	10738.0	10780.0	8515.0	13054.0	9882.0	102585.0
2024-12-18	8168.0	17948.0	18574.0	7435.0	16010.0	139637.0	2598.0	5350.0	27126.0	9925.0	15251.0	36869.0	28934.0	111080.0	8258.0	12661.0	29345.0	11961.0	9796.0	33825.0	23576.0	14440.0	6383.0	2652.0	2985.0	11795.0	21279.0	31104.0	9844.0	6377.0	115090.0	14013.0	7986.0	19045.0	11615.0	14071.0	12241.0	42180.0	7785.0	25500.0	12529.0	16093.0	13025.0	11712.0	27777.0	3689.0	12726.0	93689.0	11817.0	55346.0	21363.0	7093.0	5709.0	19510.0	20915.0	15885.0	81197.0	24392.0	11241.0	6853.0	9420.0	6237.0	6105.0	12523.0	7345.0	17300.0	12193.0	7856.0	14857.0	6846.0	6460.0	22529.0	28135.0	113644.0	14226.0	97323.0	112892.0	11333.0	25525.0	14450.0	17723.0	17572.0	11005.0	12128.0	11993.0	17168.0	18462.0	7791.0	13620.0	11779.0	9406.0	52661.0	58217.0	11815.0	12353.0	9624.0	1041260.0	12848.0	12416.0	15046.0	16258.0	52507.0	16231.0	10723.0	10731.0	8538.0	13063.0	9916.0	102590.0
