	AGG	BIL	BND	BNDX	BWX	DBMF	EDV	EEMS	EMB	EMLC	EMXC	EXI	GLDM	GUNR	HYG	IAU	ICLN	IDEV	IDMO	IEF	IEFA	IEMG	IGF	IJR	ILF	IMTM	INDA	IPAC	ITA	IWM	IWY	IXC	IXG	IXJ	IXN	IXP	JEPI	JXI	KXI	LQD	MCHI	MOAT	MXI	OILK	PDBC	QQQ	QQQM	REET	REMX	RXI	SCHD	SCHG	SCHP	SCZ	SGOV	SHY	SLV	SPMO	SPY	SPYM	TIP	TLT	UEVM	USHY	USO	VB	VBK	VBR	VEA	VEU	VEXC	VGIT	VGK	VGLT	VGSH	VNQ	VNQI	VOO	VOX	VPL	VSS	VTI	VTIP	VTV	VUG	VWO	VWOB	VXUS	XLB	XLC	XLE	XLF	XLI	XLK	XLP	XLU	XLV	XLY	XMMO
2021-06-18	98.35726267973429	77.29549231996273	73.05106848263976	47.31148032187475	27.090889908349475	20.568192339480184	112.97098790948317	54.471594163145326	87.55088934420777	23.350954427901886	54.963336777766884	110.0818056874931	35.53825967235893	31.832094479807505	66.35901125914155	34.01692459272697	21.112533317598203	57.98286863458099	29.152078630397682	99.92004917780048	63.99813706200679	57.174533242106776	40.166136808333036	102.65613773872117	21.735211640000962	32.356164695487166	41.24941057819477	56.10136111847097	104.93566865976565	211.8485593540288	141.5149734596427	21.681852728560536	67.09335037023924	76.76084787903865	52.77841520108802	78.0378167357498	38.841227021774664	52.27376019253424	53.98531526961095	110.3152233793516	71.69083799634339	69.43695705076213	77.6465209045087	25.775085713466133	9.864688596725435	332.90833579148125	136.57829206166915	23.841561889795138	71.0859720028357	158.1190619143557	20.924877411531327	17.270442439766487	25.06729143313673	63.863866450578286	84.39141912714346	75.17580263000274	24.32889993819676	53.54659911396964	390.7514409580633	45.84568467052865	104.32401915755115	121.57542432714402	40.75833415552711	30.051103998145305	48.351166596549064	205.43896247684768	273.3518376079884	155.07416786188574	44.332651738874716	54.34183367079063		58.50642627164926	57.47699591182174	73.48461436172397	53.035352350549516	85.0058626401577	48.118884842542634	359.13895622997603	132.9746077155683	70.6906360195263	116.49469185385396	203.4876976083824	42.543476434679256	120.97638760144233	44.96339505202944	45.882841879219725	60.41169029145307	56.13029262766161	37.12766307824687	75.15404860055689	22.295140321311706	32.954029782650814	93.37869677849002	68.5420864392424	60.91680079370765	27.90716477674396	114.65107463044052	82.80232820279119	78.81373200445975
2021-07-16	99.14514856577675	77.28895464854968	73.62764225381639	47.74212432716539	27.097694755846494	20.664204995527825	117.00765572566092	55.18107461058116	88.08801700771706	23.21604317681405	54.603774858499925	111.03768239386358	36.14026245763366	31.444146616326552	66.80265048392667	34.593981245363224	20.909626596293826	57.50860162689122	29.475896023075773	101.37070550491235	63.4967428079225	56.67053006974173	39.5944285434724	99.58412354550369	21.32241855566677	32.01090184750077	41.30099314067403	55.75880780564467	101.74300071372801	204.13987280448973	150.1520368066685	20.42197800296361	66.53270016097817	78.68650730566752	55.466117969052306	79.38403399292666	40.109558369038105	52.521432509300986	54.635370893378614	111.43292997511153	69.87758803526901	70.05525412771172	78.36787485117108	26.312958571413056	10.072705100095414	349.31693946730087	143.3193042380751	24.384236876128373	86.14645570743586	160.36862274078527	21.278783351561916	18.20656952996739	25.571208732512435	63.77184406537272	84.39612249523763	75.21625539316743	24.04008332566902	56.61363882372003	405.0010564227896	47.51752591894377	106.39505354815489	125.05530918076877	40.79615637025382	30.30244736144685	49.37242583380634	202.28402907892584	270.4990038882238	151.92352461080347	43.9781374487039	53.782297919901694		58.93273406663237	56.98459946598148	75.55997857542299	53.067901596102516	87.61341489945349	48.001203578430726	372.23697299803723	135.39195924083262	70.27205384061426	117.14751764072966	208.99881639494086	43.00427181381467	122.65091793710785	47.30472770727195	45.45140700799438	60.707724377186665	55.703910822182685	37.15862479490251	77.3851521300898	20.899738196903325	33.46292434208747	95.14555587124195	72.88509931129359	62.50300871476739	28.445657096492774	119.08277715681169	86.29123783157951	79.07299151643367
2021-08-18	99.35198026902518	77.27477660835017	73.77863497532265	48.10693880277742	27.132236992198884	20.14798865589517	118.30291060939494	52.66579517536576	88.1500087085538	22.99507360484855	53.69317537642153	113.31536148279712	35.464589509513175	31.115220342420287	66.61860725924544	33.959166014236246	20.92493142782503	58.57431737581231	30.178573069518183	101.90808313066564	64.73398758146239	53.573060459836796	39.76166773008248	100.60967402774008	20.256575801393453	32.85645107727139	42.969514534042695	55.519395191180095	101.85937502122633	203.4387545905187	152.37949689988613	19.908987086803336	69.01226455764125	82.36892824305222	56.14151233423583	79.07390229242728	40.9908400586601	54.69761210235693	55.24298548241662	111.56053888057795	61.42112983128865	71.22692661042699	79.44392578620418	24.74665538920713	9.922785828614773	354.29019488403526	145.3803045687708	24.525606288144395	93.84911405165826	156.9108750560864	21.67553613568447	18.43426611570747	25.786547405048594	65.24654468682515	84.39663160958713	75.23690997718316	21.847376505229295	57.596832577254524	413.1958002150154	48.47916192991275	107.27454785368306	126.1511479566593	39.47010351027467	30.22919522094174	46.188729138992215	203.91118920415852	270.68884536037643	154.10910724125844	44.57399295191447	53.596788619907194		59.082613758511634	58.875579555749866	76.24164680950027	53.085175637507746	88.26849775707116	47.99897617424745	379.7778250979104	136.51645101202564	69.52432722477046	117.01857614589011	212.9560444466814	43.144456956553235	125.8660702420458	48.07835160610263	43.11237941688416	60.78139540356492	55.513049679824235	38.547296166839956	78.537494782138	20.057814651151133	35.02103032336929	96.5681922455099	74.01036124846881	63.891145594256486	29.809287196467192	125.15061933444919	85.55152799982545	81.25096536250852
2021-09-17	99.51968316785045	77.27566553181357	73.9078239467062	47.68821760555214	26.94325696834791	20.396810651907504	119.45283310138294	54.453587976541186	88.88389808903572	23.121155164216496	55.048059568821856	113.21217637501127	35.0685263836137	30.941510867060643	67.45805703284383	33.568712108300346	21.1015483209198	59.2665561259234	32.3453393082352	101.44932279995655	65.52777667788621	54.73924283372318	39.829911531828884	101.12365195750024	19.404785502034077	33.30021977024355	46.138118718660586	58.64889650683714	98.61650577964612	208.82238777128237	155.83038133784947	20.615854779022833	68.44431235211428	81.04221835864215	57.7643331770407	80.46518468703479	40.60170471481029	53.11546278448955	54.77229178100458	112.3122195591057	61.64405266476871	70.66870757638654	77.04590625537546	26.774626562214017	10.367003070470252	365.10009113891437	149.82556383075018	24.506602226450077	102.69672934840156	159.4237395911049	21.325304569182197	18.97469322391818	25.927286299588893	67.23132303455752	84.4035169287792	75.25247629520624	21.201859289123906	59.43752372442228	415.8131799492109	48.78795039270231	107.83901478118254	126.89367739135292	40.759097902182134	30.671550766738896	50.31340714925538	207.9701845187206	282.82653960157893	154.20507559003056	45.05221245809809	54.27756430635701		58.943104914831025	58.122920373436365	76.63117677786116	53.10267174924462	88.94355044733507	47.57340996158857	382.1478869940296	140.07134054701697	72.69403312562869	119.82169200449357	214.94030180925859	43.3707016139188	123.56128318233662	49.391644755366364	44.25187619060596	61.30865061831558	56.23213661716344	37.43819579980192	79.64007009106541	20.750117541785155	34.663843582842624	93.87322678589805	75.48506412142913	63.18267164519142	29.05073478310948	123.1634272357841	88.52188123802581	83.22662825427517
2021-10-18	98.4603209496087	77.26788476188824	73.0952038211919	47.1869155488623	26.326900337588366	20.529543013844034	115.45995631580351	54.43294408614814	86.71906295451222	22.613264854890257	54.67121818393303	111.85139918605412	35.19403424556691	33.40281778243102	67.00520864352967	33.69822199058484	21.43160776038673	58.43072117589525	31.70818432093916	99.64890752379375	64.15657331613781	54.813157985152564	40.892386735866836	103.94846388657719	18.879760071915534	32.801670554239195	46.94226816719309	55.97121679160287	103.6374059895448	211.85502685411487	154.51120755344797	23.945650453755906	70.99266832270916	78.18205014423673	56.79674694961678	77.95403438224344	40.62925516226693	51.79991372070231	53.91363282928188	110.54277103379079	62.82716880849065	71.79995576144152	76.9173526671403	30.03232203631652	11.359588432794048	359.18182566141746	147.39853458506806	24.631671738667563	100.889780344797	162.8665773588378	21.7157519998066	18.88761035120475	25.922217182408602	64.98658012918885	84.4042926317662	75.02467789656502	21.505440359064234	59.59070334946995	417.0031481214578	48.929232125757096	107.7689822665792	123.435337243049	40.039770806020826	30.466902562348885	56.872124696368346	211.29387066250646	280.2913879468113	159.82151781603778	44.32575900210974	53.73230289050992		58.20380934549448	57.74143721256921	74.54663927416041	52.94925050833223	89.0263657433499	47.10167629974236	383.29153529377015	136.11150591699243	69.30770262107511	118.14406729502593	216.00361465807958	43.41678192537839	125.68790711065779	49.05397968046658	44.54366357354926	59.85641899310923	55.73441941684582	38.24135922723762	76.8489945695083	24.299041290898117	36.32954988111599	95.53784548638426	75.25670384089362	62.62491731552886	28.46894290216245	118.20826812223362	91.0603836644114	84.37489861142464
2021-11-18	98.27340584342363	77.26146266099857	72.97001735025657	47.389472744747664	26.128321040140445	21.10149271373758	116.46413320051978	54.886745635631854	86.72075958812458	22.135523334021038	54.57553094886353	115.49676767122091	37.000336609781655	33.17486509900903	66.8570006450088	35.41406378615407	22.884787010060965	59.488122045309396	33.045655797181674	99.59761341180602	65.30616989305179	54.51522531382101	40.83282383515954	110.15507280617936	17.16100358828877	33.82382210685324	46.59808544226641	56.269829173887345	102.75107041974941	222.56222804521354	167.11052253501748	23.475044596793893	71.20727722952054	81.3694412706315	61.17571329709037	78.886629147659	41.41081632978488	53.02693478591099	55.487349140508904	110.1426232437735	61.932926354553885	72.75977693298573	77.77328207274354	29.34745994149445	11.160296916857964	388.27455793533613	159.3264463853545	25.47982601197939	103.92909508941491	175.21310200214432	22.34491006947796	20.242209142942432	26.368461678416544	65.32439330844593	84.4020277232998	74.90638789656676	23.045902590500717	61.861939324488205	439.65042715034417	51.58338011081861	109.63808831143528	124.50583102841622	39.63271861609505	30.448135318808774	55.56971975088538	219.6886693703402	289.8167745051258	166.8869287356756	45.05106918335958	54.374667932579456		58.02599176503482	59.064118136957546	75.00006613699051	52.86174204265959	92.1544702451609	47.26951713831105	404.0863068014006	135.52021169525807	69.65360391208124	119.37945983380195	227.0311935095613	43.960051964716456	129.531928225167	52.494397145293284	44.47802575748944	59.888691672936645	56.371911474547524	40.55424050717323	76.663553705091	24.327935187918854	36.6586870288577	99.31300142475037	81.67240321008984	64.38399282285869	29.253971581873007	124.24996440084135	100.45149824282508	91.63996310655213
2021-12-17	98.73065516677781	77.26251343474311	73.33646806237167	47.73683630190114	26.199045660811283	20.418720711541777	120.66434530568125	53.1412061185294	86.72397002337966	21.67821745638004	53.41918068841909	111.921702297385	35.62693178624337	32.78152650221395	67.07400614004138	34.08994766500959	20.063421962814047	57.20217236162449	31.707700511642155	100.94542702895986	62.95882918747739	52.136602838378984	39.965535866346805	102.76076337830966	17.419920859578724	32.26151729406783	43.911813667085916	54.77208567015659	95.25766064169366	203.3323652319112	164.59368256411406	22.5543541268347	69.2445088681506	82.5709497659293	60.81304043094201	75.46224811943289	42.09047075350476	54.761279209199685	56.683379243381395	110.92790106019612	56.343769630242775	71.07062715625567	77.73963757207551	27.23149630455751	10.61080439483112	377.09440273974076	154.795296187527	25.506051454724037	101.69449885808245	164.0444515487594	22.507105645040085	19.578575257450844	26.028881430564134	62.12991294790758	84.40992131770747	74.79322229963199	20.64339328177844	60.34023083874207	435.3957588716933	51.09806158424397	108.21543347044289	127.9275415471441	39.46837321023991	30.531808492507423	51.213445472598735	204.7581405171606	265.36427111135174	157.54972946295692	43.523322531605956	52.434563214148326		58.306181480204344	56.69038497598079	76.9471855729474	52.78648618490299	93.54586639473364	45.92550821057485	400.2539635766618	127.3963468363304	68.23218738318371	113.68499737235513	221.67960664554698	43.593008505281844	129.77254754985114	50.816700528369424	42.4459496508883	60.01711850145944	54.29849714252254	40.16442817523357	73.0611607416381	23.34511611648756	35.93776655482307	96.3238257503597	81.78217870965625	67.09693125439449	30.665562726152082	128.11372446672857	94.85012360080711	84.40088564797948
2022-01-18	96.6225662238098	77.2466070726089	71.72992947255656	46.820369985570196	25.809784539348133	20.71466578977787	112.22882973890277	54.259428888018505	83.64558175514102	21.855725718668097	55.33844981647309	113.27699806936553	36.107571196973026	36.02052768389507	66.70664478220812	34.5411987897614	18.106127654954207	58.56354009788364	32.36737662826979	97.88576201670375	64.21714943655505	53.64695210561918	41.71794206846765	104.50931131341187	18.392908185835893	32.610157787223905	47.3381349780738	54.73461982156232	103.19197437729669	199.7686597424892	159.18522567676817	26.497815183009546	73.97332869924332	80.30666941424371	59.083018343203264	75.07891037106154	42.02859857570862	54.96886215487676	57.22898116252243	107.52826804424583	56.89530160084231	72.6173085409045	80.74193727644725	31.758992465367072	11.504623296881462	365.87229102117675	150.30781684746808	25.579215436023706	107.02518358452912	164.595772157353	23.20598076763309	18.655818301080334	25.61268218365001	62.844507999594136	84.4131884746545	74.39062223028475	21.457891979151785	59.85686015242199	433.9510153134245	50.911294804381235	106.46725972043566	120.5801032399666	40.79503949711298	30.382979539757454	60.019068184088425	203.85126680466777	248.72730656932794	163.48227882663298	44.41460790476362	53.7523700770767		57.19247956275517	58.4249865146022	72.73710993011997	52.51760842787784	92.31011551950215	46.152677291780215	398.938765696421	126.16624141370974	68.05569215485787	115.34028566179751	219.39077124460457	43.50841259376328	134.33976780313498	48.548905122432714	43.85858244923302	58.03180932191212	55.52772919499415	40.57266736069454	72.72846336232368	27.644902278820588	37.59442348325638	98.61164712075325	79.30597597099933	68.3283587007243	30.365840739904435	124.50702037233054	94.18411920537183	84.39018008948102
2022-02-18	94.81592913234181	77.24492293194024	70.35900662887371	45.8507628002931	25.296380234556707	20.975826499510433	107.80669472602146	52.14113067214599	82.58504551917548	22.372450360015982	54.843227071958424	106.93754512863842	37.53242723874843	37.69294543306988	64.56963270113769	35.91605902405855	17.255333050179264	56.49198669688606	30.535524472016995	96.75646725319129	61.85463831455555	52.895092948983624	41.370071116801775	99.72816496007313	19.79613084394442	31.068864485937503	44.2226213604645	53.1672848230406	101.27929602593801	190.32573317984838	148.42527267653705	27.810822351341706	72.67398393167254	77.37952000031399	55.14169260732468	69.19171893356082	40.818404902920946	53.07455384655732	56.629365065110974	103.36028101936168	55.96033122841297	69.21209519656065	78.96940386218121	33.89395730715401	12.192864447743304	336.75985743992436	138.27023063455107	24.290458600709076	100.40169758357011	154.15040094912462	22.13127122477482	17.470444161593527	25.316722097541497	59.921027161311805	84.41870227385283	73.80958322331084	22.018962252594125	56.445863344050736	411.8794352121399	48.33330600270459	105.21682310040129	117.16363351151658	40.64914133279255	29.371304371560786	64.47364855594407	195.5318765039567	235.81832027466	158.20425831627404	42.87710248400525	52.32704226037881		56.53708666999517	56.05860728176988	70.87586963291912	52.09424361821627	86.68993109104346	45.72524603865051	378.6656434776577	114.27471030637443	65.91496170747422	110.45466626072987	208.3748118396481	43.44948214847241	130.19528990504847	45.22659667146044	43.567294472942756	57.26746590062368	54.00173509330036	38.61571274027452	65.16238191870812	29.392933219809613	36.643130781014655	92.75895518495582	74.65283843653549	67.76824610248116	29.146201173735314	119.8813374601488	87.5462722829742	82.05528273891349
2022-03-18	93.43119296601017	77.2609841098971	69.28364199665836	45.283398058457266	24.37691169759128	22.155724695429395	103.29158267208682	50.376607832786675	78.28457927487159	20.715510757015196	51.481634129944126	107.83083609097106	38.32026617831147	38.92795416144863	64.22253281580775	36.664144571807824	19.75885787770696	54.85712506121752	29.877014169247758	95.21718978267273	59.659785674115895	48.647584355692715	42.25334577073898	101.45363486575715	20.626913775347376	30.50249287835986	43.984169720256276	52.11395878316189	104.4992348205835	193.41968124316918	148.16191017943987	28.882482901249855	69.86696795118655	80.87286307103125	54.18532888271051	67.63197289372306	41.67801724136323	54.997862548231524	54.51817944980776	101.66160586155826	47.99794224998964	69.57022104713167	79.82794322016275	38.55565332122602	13.412967588079539	336.0783074067445	137.96046087465467	24.831912203488024	100.02047331215444	144.43149724939363	22.371642530433483	17.470424858828586	25.944181237695723	58.115352717670206	84.4260647079521	73.3434533357168	23.13980648791287	56.44079965159763	414.5132413578879	48.63532462922135	107.79405122867956	113.52019616803986	38.54330151700928	29.187199980844255	73.2297225759694	197.72149037724182	237.45040587412768	160.27774510152153	41.63017582630821	49.90865733079529		55.79769199425244	53.45603447976862	68.73860847433366	51.749192725899036	89.47722058015131	44.82407480824548	380.9916955275581	112.32358815893282	64.48044186898713	108.00369338474434	209.2528150050106	44.172333655020694	132.15405086796147	44.91370227857957	39.99612048574521	54.47748495883993	51.73187743362246	39.103080979463996	64.3829001179725	31.671080019838598	35.899866306869626	95.53172667095748	73.79091126350744	66.04337484094944	31.214206006739992	126.58426516659767	85.99390475251131	83.21826854345301
